CiterID,CiteeID
zaporozhets2020,gololobov2016
zaporozhets2020,taylor1997
zaporozhets2020,wickstrom2009
yoffe2013,yurchak1999
yoffe2013,yoffe2005
yoffe2013,troitsky1990
wickstrom2009,boym2001
wickstrom2009,steinholt2005
trotter2019,mcmichael2005
trotter2019,kushnir1994
trotter2019,kushnir1999
trotter2019,steinholt2005
rayport1995,bushnell1990
rayport1995,dunham1990
rayport1995,fitzpatrick1979
rayport1995,pilkington1994
rayport1995,sapir1949
ramet1990,troitsky1987
mcmichael2009,cushman1995
mcmichael2009,glossop1991
mcmichael2009,mcmichael2008a
mcmichael2009,smith1984
mcmichael2009,sosin1975
mcmichael2009,steinholt2005
mcmichael2009,troitsky1987
mcmichael2009,troitsky1990
mcmichael2009,wickstrom2009
mcmichael2009,yurchak2005
mcmichael2009,yurchak1999
mcmichael2005,troitsky1987
mcmichael2005,sagareva1992
mcmichael2005,rekshan1988
mcmichael2005,gakkel2000
mcmichael2005,rybin2001
mcmichael2005,cushman1995
mcmichael2005,edele2002
mcmichael2005,yurchak1999
mcmichael2005,kushnir1999
mcmichael2005,rybin2003
mcmichael2005,hopkins1969
mcmichael2005,smith1984
mcmichael2005,steinholt2005
mcmichael2005,gunitskii1991
mcmichael2005,boym2001
mcmichael2005,zamoyska1975
mcmichael2005,pospielovsky1978
mcmichael2005,oushakine2001
mcmichael2005,savitskii2002
mcmichael2005,komaromi2004
mcmichael2005,kushnir1994
mcmichael2005,severov
mcmichael2005,zhitinskii1990
mcmichael2005,severiukhin2003
mcmichael2005,khrenov1986
mcmichael2005,troitsky1990ru
mcmichael2005,mokienko2001
mcmichael2005,fain1991
mcmichael2005,zaitsev1990
mcmichael2005,leningradskaia1978
mcmichael2005,sotsiologicheskie1987
mcmichael2005,troitsky1990
mcmichael2005,pilkington1994
mcmichael2005,pilkington2002
mcmichael2005,matveev2001
mcmichael2005,corten1992
mcmichael2005,matizen1993
mcmichael2005,wilson1976
mcmichael2005,chekrygina1972
mcmichael2005,petrov1973
mcmichael2005,thornton1995
mcmichael2005,shneerson1974
mcmichael2005,petrushkin1974
amico2014,anderson1983
amico2014,attali1985
amico2014,bakhtin1986
amico2014,barker1999
amico2014,barthes1990
amico2014,bennetts2010
amico2014,beumers2005
amico2014,billington2004
amico2014,blacking1977
amico2014,bogdanov1984
amico2014,brett1994
amico2014,brooks2000
amico2014,chernin2007
amico2014,cushman1995
amico2014,doyle1995
amico2014,duncan2005
amico2014,easton1989
amico2014,edmunds2004
amico2014,feld1994
amico2014,gasparian1993
amico2014,gorham2003
amico2014,grenoble2003
amico2014,gudkov2004
amico2014,james1987
amico2014,kaplan1971
amico2014,kon1993
amico2014,korpe2006
amico2014,kristeva1984
amico2014,lenta2012
amico2014,lerdahl2003
amico2014,lerdahl1983
amico2014,lidov2005
amico2014,macfadyen2001
amico2014,macfadyen2002
amico2014,macfadyen2006
amico2014,masaltsev
amico2014,nelson2006
amico2014,nercessian2004
amico2014,nettl1995
amico2014,olkhovsky1955
amico2014,olson2004
amico2014,pilkington1998
amico2014,poggie1992
amico2014,ramet1994
amico2014,ramet2003
amico2014,rouland2004
amico2014,ryback1990
amico2014,sarycheva2007
amico2014,shcheglova2008
amico2014,shklovskii1962
amico2014,shklovskii1968
amico2014,smith1984
amico2014,smith1998
amico2014,steiger2011
amico2014,steinholt2003
amico2014,swain1997
amico2014,taruskin1997
amico2014,taylor1997
amico2014,todorov1984
amico2014,troitsky1987
amico2014,vygotsky1986
amico2014,whiteley2000
amico2014,zhdanov1969
grabarchuk2015,mcmichael2005
grabarchuk2015,ramet1990
grabarchuk2015,steinholt2003
grabarchuk2015,yurchak1999
grabarchuk2015,cushman1995
grabarchuk2015,macfadyen2001
grabarchuk2015,macfadyen2002
grabarchuk2015,ramet1994
grabarchuk2015,riordan1989
grabarchuk2015,risch2015
grabarchuk2015,ryback1990
grabarchuk2015,steinholt2005
grabarchuk2015,stites1992
grabarchuk2015,troitsky1987
grabarchuk2015,yurchak2006
grabarchuk2015,zhuk2010
